Date,prev_day_close,symbol,atr,pma5,pma20,pma50,pma200,prev_day_open_norm,prev_day_high_norm,prev_day_low_norm,prev_day_close_norm,prev_day_vol_norm,Dividends
1993-02-01,43.94,SPY,0.36,44.47,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-02,44.25,SPY,0.36,44.47,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-03,44.34,SPY,0.36,44.47,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-04,44.81,SPY,0.36,44.47,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-05,45.0,SPY,0.36,44.47,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-08,44.97,SPY,0.36,44.67,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-09,44.97,SPY,0.36,44.82,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-10,44.66,SPY,0.36,44.88,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-11,44.72,SPY,0.36,44.86,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-12,44.94,SPY,0.36,44.85,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-15,44.59,SPY,0.36,44.77,44.27,44.69,45.21,0.26,0.0,-0.78,-0.78,0.87,0.0
1993-02-17,43.47,SPY,0.45,44.47,44.27,44.69,45.21,-0.9,0.0,-2.36,-2.22,0.87,0.0
1993-02-18,43.44,SPY,0.43,44.23,44.27,44.69,45.21,-2.33,0.15,-0.44,-0.07,0.87,0.0
1993-02-19,43.41,SPY,0.5,43.97,44.27,44.69,45.21,0.94,0.0,-2.25,-1.06,0.87,0.0
1993-02-22,43.56,SPY,0.47,43.69,44.27,44.69,45.21,-1.13,0.33,-0.13,0.33,0.87,0.0
1993-02-23,43.72,SPY,0.44,43.52,44.27,44.69,45.21,0.64,0.21,-0.28,0.07,0.87,0.0
1993-02-24,43.69,SPY,0.44,43.56,44.27,44.69,45.21,0.35,0.07,-0.85,-0.35,0.87,0.0
