Date,dividend
3/18/1993,0.213
6/17/1993,0.318
9/16/1993,0.286
12/16/1993,0.317
3/17/1994,0.271
6/16/1994,0.305
9/15/1994,0.288
12/15/1994,0.363
3/16/1995,0.268
6/15/1995,0.316
9/14/1995,0.312
12/14/1995,0.382
3/14/1996,0.285
6/20/1996,0.351
9/19/1996,0.352
12/19/1996,0.367
3/20/1997,0.299
6/19/1997,0.35
9/18/1997,0.348
12/18/1997,0.38
3/19/1998,0.313
6/18/1998,0.352
9/17/1998,0.359
12/17/1998,0.392
3/18/1999,0.32
6/17/1999,0.405
9/16/1999,0.372
12/16/1999,0.348
3/16/2000,0.371
6/15/2000,0.348
9/14/2000,0.375
12/14/2000,0.411
3/15/2001,0.316
6/14/2001,0.346
9/20/2001,0.369
12/20/2001,0.393
3/14/2002,0.331
6/20/2002,0.353
9/19/2002,0.378
12/19/2002,0.436
3/20/2003,0.354
6/19/2003,0.36
9/18/2003,0.4
12/18/2003,0.516
3/18/2004,0.395
6/17/2004,0.414
9/16/2004,0.469
11/12/2004,0.351
12/16/2004,0.568
3/17/2005,0.467
6/16/2005,0.488
9/15/2005,0.522
12/15/2005,0.672
3/16/2006,0.519
6/15/2006,0.555
9/14/2006,0.579
12/14/2006,0.793
3/15/2007,0.551
6/14/2007,0.656
9/20/2007,0.719
12/20/2007,0.775
3/19/2008,0.642
6/19/2008,0.669
9/18/2008,0.691
12/18/2008,0.719
3/19/2009,0.561
6/18/2009,0.518
9/17/2009,0.508
12/17/2009,0.59
3/18/2010,0.48
6/17/2010,0.531
9/16/2010,0.602
12/16/2010,0.653
3/17/2011,0.553
6/16/2011,0.628
9/15/2011,0.625
12/15/2011,0.77
3/15/2012,0.614
6/14/2012,0.688
9/20/2012,0.779
12/20/2012,1.022
3/14/2013,0.694
6/20/2013,0.84
9/19/2013,0.84
12/19/2013,0.98
3/20/2014,0.825
6/19/2014,0.937
9/18/2014,0.94
12/18/2014,1.135
3/19/2015,0.931
6/18/2015,1.03
9/17/2015,1.033
12/17/2015,1.212
3/17/2016,1.05
