Date,dividend
3/19/1993,0.213
6/18/1993,0.318
9/17/1993,0.286
12/17/1993,0.317
3/18/1994,0.271
6/17/1994,0.305
9/16/1994,0.288
12/16/1994,0.363
3/17/1995,0.268
6/16/1995,0.316
9/15/1995,0.312
12/15/1995,0.382
3/15/1996,0.285
6/21/1996,0.351
9/20/1996,0.352
12/20/1996,0.367
3/21/1997,0.299
6/20/1997,0.35
9/19/1997,0.348
12/19/1997,0.38
3/20/1998,0.313
6/19/1998,0.352
9/18/1998,0.359
12/18/1998,0.392
3/19/1999,0.32
6/18/1999,0.405
9/17/1999,0.372
12/17/1999,0.348
3/17/2000,0.371
6/16/2000,0.348
9/15/2000,0.375
12/15/2000,0.411
3/16/2001,0.316
6/15/2001,0.346
9/21/2001,0.369
12/21/2001,0.393
3/15/2002,0.331
6/21/2002,0.353
9/20/2002,0.378
12/20/2002,0.436
3/21/2003,0.354
6/20/2003,0.36
9/19/2003,0.4
12/19/2003,0.516
3/19/2004,0.395
6/18/2004,0.414
9/17/2004,0.469
11/15/2004,0.351
12/17/2004,0.568
3/18/2005,0.467
6/17/2005,0.488
9/16/2005,0.522
12/16/2005,0.672
3/17/2006,0.519
6/16/2006,0.555
9/15/2006,0.579
12/15/2006,0.793
3/16/2007,0.551
6/15/2007,0.656
9/21/2007,0.719
12/21/2007,0.775
3/20/2008,0.642
6/20/2008,0.669
9/19/2008,0.691
12/19/2008,0.719
3/20/2009,0.561
6/19/2009,0.518
9/18/2009,0.508
12/18/2009,0.59
3/19/2010,0.48
6/18/2010,0.531
9/17/2010,0.602
12/17/2010,0.653
3/18/2011,0.553
6/17/2011,0.628
9/16/2011,0.625
12/16/2011,0.77
3/16/2012,0.614
6/15/2012,0.688
9/21/2012,0.779
12/21/2012,1.022
3/15/2013,0.694
6/21/2013,0.84
9/20/2013,0.84
12/20/2013,0.98
3/21/2014,0.825
6/20/2014,0.937
9/19/2014,0.94
12/19/2014,1.135
3/20/2015,0.931
6/19/2015,1.03
9/18/2015,1.033
12/18/2015,1.212
3/18/2016,1.05
