Date,symbol,signal,prev_high,prev_low,prev_close,atr,prob_hh,prob_hl
2015-04-29,CMG,-1.0,646.969971,636.4400019999998,639.580017,13.406937861822438,0.3171428571428571,0.3342857142857143
2015-04-30,CMG,-1.0,638.700012,626.75,630.070007,13.349245775640195,0.2742857142857143,0.4
2015-05-01,CMG,-1.0,635.0,619.719971,621.340027,13.542324098076175,0.20857142857142857,0.2714285714285714
2015-05-04,CMG,1.0,634.0,626.919983,634.0,13.454088988268563,0.7485714285714286,0.6142857142857143
2015-05-05,CMG,-1.0,641.960022,633.330017,633.570007,12.971680589441707,0.21142857142857144,0.24285714285714285
2015-05-06,CMG,-1.0,634.950012,625.1900019999998,625.669983,12.650513530497555,0.23142857142857143,0.28285714285714286
2015-05-07,CMG,1.0,627.820007,618.469971,627.22998,12.320465777447804,0.8457142857142858,0.8057142857142857
2015-05-08,CMG,0.0,633.409973,625.3900150000002,628.820007,11.89041499970301,0.5485714285714286,0.3142857142857143
2015-05-11,CMG,-1.0,637.700012,632.049988,633.820007,11.589373999732707,0.42857142857142855,0.4085714285714286
2015-05-12,CMG,1.0,637.5,628.320007,635.669983,11.348435899759433,0.7457142857142857,0.74
2015-05-13,CMG,1.0,637.669983,627.3599849999998,635.549988,11.244592109783508,0.7742857142857142,0.7457142857142857
2015-05-14,CMG,0.0,639.5,634.049988,635.320007,10.665134098805158,0.5257142857142857,0.18571428571428572
2015-05-15,CMG,0.0,638.590027,630.8599849999998,634.530029,10.371624888924655,0.5828571428571429,0.43142857142857144
2015-05-18,CMG,0.0,636.4400019999998,629.049988,632.369995,10.073463800032174,0.52,0.4514285714285714
2015-05-19,CMG,0.0,636.710022,631.049988,636.099976,9.632120820028955,0.64,0.48857142857142855
2015-05-20,CMG,-1.0,639.880005,631.5,636.75,9.506909238026058,0.48857142857142855,0.4142857142857143
2015-05-21,CMG,-1.0,635.900024,627.01001,628.23999,9.530217314223455,0.21714285714285714,0.26857142857142857
2015-05-22,CMG,1.0,633.73999,625.030029,633.3599849999998,9.448191682801111,0.82,0.8257142857142857
2015-05-25,CMG,-1.0,635.0,625.780029,626.4400019999998,9.425369614521,0.17142857142857143,0.28
2015-05-27,CMG,1.0,626.380005,618.710022,622.159973,9.255830653068884,0.6914285714285714,0.5314285714285715
2015-05-28,CMG,-1.0,624.5,612.26001,612.5,9.554246587761998,0.19714285714285715,0.3742857142857143
2015-05-29,CMG,1.0,636.0,616.8599849999998,629.419983,10.948821928985797,0.64,0.7171428571428572
2015-06-01,CMG,-1.0,628.400024,613.580017,615.52002,11.437936336087217,0.2057142857142857,0.18857142857142858
2015-06-02,CMG,0.0,619.0,612.599976,614.900024,10.9341451024785,0.6714285714285714,0.5
2015-06-03,CMG,0.0,616.75,610.0,610.570007,10.51573059223065,0.5257142857142857,0.34
2015-06-04,CMG,1.0,613.25,608.0,610.8900150000002,9.989157533007585,0.6657142857142857,0.5857142857142857
2015-06-05,CMG,1.0,613.950012,603.01001,611.570007,10.084241979706832,0.7314285714285714,0.8114285714285714
2015-06-08,CMG,1.0,614.900024,601.530029,613.799988,10.41281728173615,0.7971428571428572,0.7685714285714286
2015-06-09,CMG,-1.0,612.919983,607.77002,608.119995,9.974532353562529,0.41714285714285715,0.37714285714285717
2015-06-10,CMG,1.0,608.710022,605.159973,605.789978,9.33208401820627,0.7057142857142857,0.5314285714285715
2015-06-11,CMG,0.0,609.5,605.6400150000002,608.669983,8.784874116385627,0.5285714285714286,0.4085714285714286
2015-06-12,CMG,-1.0,613.0,605.5599980000002,605.8599849999998,8.650386904747046,0.32857142857142857,0.26571428571428574
2015-06-15,CMG,2.0,612.400024,604.02002,609.76001,8.623348614272341,0.49142857142857144,0.6571428571428571
2015-06-16,CMG,0.0,608.48999,602.72998,604.169983,8.464016752845108,0.5428571428571428,0.4085714285714286
2015-06-17,CMG,1.0,604.900024,598.039978,600.619995,8.303619677560599,0.6657142857142857,0.5828571428571429
2015-06-18,CMG,1.0,606.929993,600.5,606.840027,8.116257009804537,0.56,0.58
2015-06-19,CMG,-1.0,610.580017,605.4400019999998,606.200012,7.818632808824101,0.34285714285714286,0.26571428571428574
2015-06-22,CMG,1.0,615.719971,604.23999,615.3099980000002,8.184767627941685,0.8714285714285714,0.8114285714285714
2015-06-23,CMG,-1.0,623.179993,616.849976,619.25,8.153290365147495,0.4828571428571429,0.3514285714285714
2015-06-24,CMG,-1.0,622.6400150000002,614.169983,615.400024,8.184964528632763,0.17142857142857143,0.2257142857142857
