,Date,symbol,support,sup_li,resistance,res_li,prev_day_close,atr
0,2016-05-18,JNJ,113.56,12.0,0.0,0.0,113.84,1.09
1,2016-05-18,T,38.82,21.0,0.0,0.0,39.12,0.44
2,2016-05-18,WMT,60.58,10.0,66.81,5.0,65.1,1.33
3,2016-05-18,JPM,60.15,15.0,61.92,8.0,61.66,1.1
4,2016-05-18,PFE,31.99,5.0,33.11,13.0,33.03,0.51
5,2016-05-18,CVX,99.85,15.0,0.0,0.0,100.75,1.83
6,2016-05-18,ORCL,38.93,5.0,39.77,12.0,39.6,0.57
7,2016-05-18,DIS,99.5,10.0,101.97,11.0,99.95,1.83
8,2016-05-18,MRK,53.65,6.0,54.39,12.0,54.32,0.8
9,2016-05-18,INTC,29.44,6.0,30.89,12.0,29.98,0.55
10,2016-05-18,IBM,139.51,5.0,148.33,10.0,148.0,2.54
11,2016-05-18,BAC,12.84,6.0,14.06,21.0,14.01,0.36
12,2016-05-18,UNH,118.71,7.0,130.02,15.0,129.56,2.12
13,2016-05-18,C,42.71,9.0,44.63,15.0,43.71,1.07
14,2016-05-18,MDT,77.64,11.0,0.0,0.0,80.81,1.07
15,2016-05-18,CVS,100.67,9.0,103.5,10.0,102.12,1.68
16,2016-05-18,MA,95.31,22.0,98.65,15.0,95.6,1.31
17,2016-05-18,MMM,166.16,5.0,168.85,15.0,167.81,1.93
18,2016-05-18,SLB,71.63,11.0,75.07,17.0,74.88,1.88
19,2016-05-18,UTX,97.53,5.0,100.88,18.0,100.06,1.73
20,2016-05-18,LLY,75.95,11.0,83.33,5.0,76.39,1.71
21,2016-05-18,BA,132.53,18.0,136.64,6.0,132.56,2.49
22,2016-05-18,QCOM,51.77,10.0,0.0,0.0,52.0,0.98
23,2016-05-18,RAI,49.94,14.0,0.0,0.0,50.32,0.88
24,2016-05-18,UNP,81.71,6.0,84.33,11.0,82.2,1.89
25,2016-05-18,GS,150.59,10.0,159.27,20.0,154.65,3.47
26,2016-05-18,ACN,115.09,14.0,0.0,0.0,116.23,1.65
27,2016-05-18,AIG,55.15,17.0,56.45,8.0,55.41,0.87
28,2016-05-18,DHR,97.47,10.0,0.0,0.0,98.45,1.17
29,2016-05-18,CL,68.54,5.0,70.98,16.0,70.85,0.97
30,2016-05-18,BIIB,259.98,5.0,266.83,15.0,263.52,6.44
31,2016-05-18,TXN,57.26,15.0,58.42,12.0,57.43,1.02
32,2016-05-18,TWX,69.05,5.0,73.23,16.0,72.82,1.49
33,2016-05-18,DD,60.53,5.0,64.66,27.0,64.53,1.23
34,2016-05-18,DUK,76.38,5.0,80.06,16.0,79.52,1.25
35,2016-05-18,FOXA,27.06,9.0,29.64,13.0,28.7,0.58
36,2016-05-18,BLK,344.03,11.0,352.88,6.0,348.83,6.57
37,2016-05-18,TJX,75.49,13.0,76.72,6.0,75.59,1.82
38,2016-05-18,KMB,125.85,5.0,129.93,18.0,126.42,2.1
39,2016-05-18,MS,25.86,26.0,0.0,0.0,26.16,0.66
40,2016-05-18,ESRX,66.75,8.0,73.27,17.0,72.23,1.36
41,2016-05-18,CRM,75.29,28.0,79.09,5.0,76.77,1.41
42,2016-05-18,SO,47.88,5.0,49.74,25.0,49.09,0.81
43,2016-05-18,PYPL,34.43,6.0,39.55,19.0,39.07,0.85
44,2016-05-18,MET,42.07,13.0,44.36,19.0,43.3,0.95
45,2016-05-18,ADBE,95.43,13.0,0.0,0.0,95.93,1.7
46,2016-05-18,D,68.73,9.0,71.8,14.0,71.09,1.12
47,2016-05-18,GD,136.73,30.0,0.0,0.0,145.0,2.16
48,2016-05-18,PNC,84.48,5.0,86.49,22.0,85.24,1.59
49,2016-05-18,REGN,382.06,10.0,400.98,13.0,386.39,14.57
50,2016-05-18,COP,38.92,6.0,43.94,15.0,43.78,1.58
51,2016-05-18,KMI,17.27,30.0,19.13,8.0,17.68,0.57
52,2016-05-18,ADP,82.23,14.0,87.27,21.0,85.35,1.35
53,2016-05-18,BK,38.25,8.0,40.07,14.0,39.85,0.76
