,Date,symbol,support,sup_count,resistance,res_count
0,2016-04-26,ABT,0.0,0.0,44.15,21.0
1,2016-04-26,ABBV,59.64,13.0,0.0,0.0
2,2016-04-26,ADBE,94.5,20.0,0.0,0.0
3,2016-04-26,ADT,41.38,21.0,0.0,0.0
4,2016-04-26,AAP,153.91,7.0,159.79,17.0
5,2016-04-26,AET,111.12,16.0,114.25,6.0
6,2016-04-26,A,40.2,9.0,42.09,11.0
7,2016-04-26,ARG,140.68,31.0,0.0,0.0
8,2016-04-26,ALXN,0.0,0.0,151.22,10.0
9,2016-04-26,ADS,0.0,0.0,208.47,18.0
10,2016-04-26,ALL,65.43,9.0,66.4,11.0
11,2016-04-26,AMT,103.92,10.0,0.0,0.0
12,2016-04-26,ABC,89.16,10.0,0.0,0.0
13,2016-04-26,APH,55.26,7.0,57.4,11.0
14,2016-04-26,ADI,58.68,17.0,61.98,6.0
15,2016-04-26,AMAT,20.93,12.0,0.0,0.0
16,2016-04-26,T,38.44,12.0,38.97,5.0
17,2016-04-26,ADSK,60.23,14.0,0.0,0.0
18,2016-04-26,ADP,89.79,10.0,0.0,0.0
19,2016-04-26,AZO,751.05,8.0,780.32,14.0
20,2016-04-26,AVB,0.0,0.0,180.44,13.0
21,2016-04-26,AVY,73.03,13.0,0.0,0.0
22,2016-04-26,BCR,208.65,10.0,0.0,0.0
23,2016-04-26,BBBY,48.74,18.0,0.0,0.0
24,2016-04-26,CHRW,69.08,5.0,71.98,10.0
25,2016-04-26,CA,30.37,11.0,0.0,0.0
26,2016-04-26,CPB,53.59,6.0,62.37,18.0
27,2016-04-26,KMX,53.53,18.0,0.0,0.0
28,2016-04-26,CCL,0.0,0.0,50.11,24.0
29,2016-04-26,CBG,29.9,21.0,34.17,8.0
30,2016-04-26,CELG,106.11,16.0,109.16,5.0
31,2016-04-26,CTL,28.78,8.0,32.06,15.0
32,2016-04-26,CB,0.0,0.0,119.67,11.0
33,2016-04-26,CHD,92.2,17.0,94.46,5.0
34,2016-04-26,CTAS,89.91,13.0,91.17,5.0
35,2016-04-26,CLX,0.0,0.0,124.85,14.0
36,2016-04-26,CME,93.54,14.0,0.0,0.0
37,2016-04-26,CMS,35.58,6.0,40.44,14.0
38,2016-04-26,CCE,51.86,11.0,0.0,0.0
39,2016-04-26,CTSH,58.46,6.0,60.96,15.0
40,2016-04-26,CL,67.88,12.0,0.0,0.0
41,2016-04-26,CPGX,25.44,14.0,0.0,0.0
42,2016-04-26,STZ,150.23,5.0,157.17,10.0
43,2016-04-26,COST,0.0,0.0,153.49,27.0
44,2016-04-26,CCI,86.97,14.0,88.14,10.0
45,2016-04-26,CSRA,26.16,31.0,0.0,0.0
46,2016-04-26,DHR,95.11,24.0,0.0,0.0
47,2016-04-26,DRI,62.54,5.0,64.07,16.0
48,2016-04-26,DVA,74.69,10.0,0.0,0.0
49,2016-04-26,DLPH,75.9,12.0,79.56,7.0
50,2016-04-26,XRAY,60.1,22.0,0.0,0.0
51,2016-04-26,DISCK,27.49,10.0,0.0,0.0
52,2016-04-26,DLTR,81.5,19.0,0.0,0.0
53,2016-04-26,DOW,52.41,24.0,0.0,0.0
54,2016-04-26,DTE,87.35,12.0,0.0,0.0
55,2016-04-26,DNB,109.48,11.0,0.0,0.0
56,2016-04-26,EA,0.0,0.0,64.94,14.0
57,2016-04-26,EMC,26.12,15.0,0.0,0.0
58,2016-04-26,ETR,69.2,6.0,74.79,13.0
59,2016-04-26,ESS,0.0,0.0,225.82,15.0
60,2016-04-26,EL,94.96,16.0,96.68,5.0
61,2016-04-26,ES,53.73,5.0,56.2,16.0
62,2016-04-26,EXC,34.69,16.0,0.0,0.0
63,2016-04-26,EXPE,102.73,7.0,107.82,13.0
64,2016-04-26,EXPD,49.29,15.0,0.0,0.0
65,2016-04-26,FB,107.34,6.0,110.61,17.0
66,2016-04-26,FAST,46.08,16.0,0.0,0.0
67,2016-04-26,FRT,152.8,15.0,0.0,0.0
68,2016-04-26,FDX,164.7,15.0,0.0,0.0
69,2016-04-26,FIS,65.11,11.0,0.0,0.0
70,2016-04-26,FISV,96.87,10.0,99.56,6.0
71,2016-04-26,BEN,38.23,7.0,39.7,11.0
72,2016-04-26,GGP,28.75,18.0,29.4,5.0
73,2016-04-26,HBI,0.0,0.0,28.14,20.0
74,2016-04-26,HRS,78.53,16.0,81.53,6.0
75,2016-04-26,HIG,44.93,7.0,45.96,11.0
76,2016-04-26,HCP,33.43,17.0,35.03,11.0
77,2016-04-26,HPE,14.63,18.0,17.55,13.0
78,2016-04-26,HD,134.52,14.0,0.0,0.0
79,2016-04-26,HST,15.91,20.0,0.0,0.0
80,2016-04-26,HPQ,12.52,15.0,0.0,0.0
81,2016-04-26,HUM,175.42,12.0,179.51,6.0
