,Date,symbol,support,sup_li,resistance,res_li,prev_day_close,atr
0,2016-05-25,SPY,207.05,18.0,0.0,0.0,207.87,2.1
1,2016-05-25,QQQ,107.56,19.0,109.83,5.0,108.46,1.43
2,2016-05-25,IWM,111.18,10.0,114.97,6.0,112.95,1.74
3,2016-05-25,AAPL,94.78,14.0,98.76,6.0,97.91,1.93
4,2016-05-25,GOOG,711.15,6.0,724.42,12.0,720.1,12.17
5,2016-05-25,XOM,89.36,11.0,0.0,0.0,89.67,1.21
6,2016-05-25,FB,116.49,10.0,0.0,0.0,117.7,1.96
7,2016-05-25,JNJ,111.43,7.0,113.6,13.0,112.7,1.12
8,2016-05-25,WFC,49.02,18.0,50.16,6.0,49.21,0.76
9,2016-05-25,PG,80.24,9.0,81.07,10.0,80.98,1.0
10,2016-05-25,WMT,67.86,29.0,0.0,0.0,70.24,1.65
11,2016-05-25,PFE,33.31,22.0,0.0,0.0,34.1,0.48
12,2016-05-25,ORCL,39.08,10.0,40.02,15.0,39.91,0.62
13,2016-05-25,DIS,96.58,6.0,100.53,22.0,99.52,1.62
14,2016-05-25,PEP,100.91,12.0,101.78,7.0,101.09,1.36
15,2016-05-25,PM,98.8,14.0,0.0,0.0,98.84,1.32
16,2016-05-25,CMCSA,61.12,16.0,0.0,0.0,62.44,1.09
17,2016-05-25,INTC,30.79,14.0,31.97,6.0,31.06,0.58
18,2016-05-25,IBM,147.58,14.0,152.16,7.0,148.31,2.41
19,2016-05-25,BAC,14.1,23.0,0.0,0.0,14.68,0.37
20,2016-05-25,GILD,85.57,12.0,91.89,13.0,86.23,1.96
21,2016-05-25,MO,63.27,10.0,0.0,0.0,63.8,0.93
22,2016-05-25,UNH,130.11,18.0,0.0,0.0,132.59,2.1
23,2016-05-25,C,44.88,17.0,0.0,0.0,45.87,1.13
24,2016-05-25,MDT,80.35,11.0,0.0,0.0,80.95,1.03
25,2016-05-25,MA,95.26,20.0,98.39,15.0,96.49,1.31
26,2016-05-25,MMM,167.18,18.0,0.0,0.0,168.64,2.13
27,2016-05-25,SLB,74.7,14.0,76.23,5.0,75.63,1.72
28,2016-05-25,ABBV,60.35,16.0,0.0,0.0,60.71,1.38
29,2016-05-25,HON,113.31,19.0,0.0,0.0,114.38,1.61
30,2016-05-25,RAI,49.94,18.0,0.0,0.0,50.71,0.81
31,2016-05-25,GS,157.15,13.0,161.23,9.0,157.59,3.52
32,2016-05-25,MDLZ,42.89,26.0,44.41,5.0,44.16,0.82
33,2016-05-25,ACN,115.19,14.0,0.0,0.0,119.13,1.69
34,2016-05-25,LOW,77.34,11.0,0.0,0.0,79.6,1.42
35,2016-05-25,AIG,56.28,19.0,0.0,0.0,57.71,0.91
36,2016-05-25,CL,70.78,19.0,72.59,5.0,70.88,0.92
37,2016-05-25,BIIB,268.54,15.0,0.0,0.0,272.95,6.51
38,2016-05-25,DOW,51.62,26.0,0.0,0.0,52.82,0.95
39,2016-05-25,TXN,58.29,16.0,0.0,0.0,60.09,1.12
40,2016-05-25,NEE,118.67,12.0,0.0,0.0,119.89,1.94
41,2016-05-25,AXP,63.72,11.0,65.07,6.0,64.88,1.11
42,2016-05-25,TWX,72.92,16.0,0.0,0.0,73.13,1.45
43,2016-05-25,DD,65.01,22.0,0.0,0.0,67.92,1.26
44,2016-05-25,FOX,28.15,9.0,29.42,13.0,28.84,0.53
45,2016-05-25,TJX,72.6,5.0,75.44,19.0,75.24,1.58
46,2016-05-25,F,13.21,10.0,13.6,12.0,13.29,0.24
47,2016-05-25,TGT,67.83,5.0,73.85,11.0,68.7,2.09
48,2016-05-25,MS,26.0,30.0,0.0,0.0,27.41,0.69
49,2016-05-25,ESRX,73.52,18.0,0.0,0.0,74.35,1.43
50,2016-05-25,CRM,78.25,13.0,0.0,0.0,82.75,1.67
51,2016-05-25,SO,47.89,5.0,49.26,13.0,48.46,0.79
52,2016-05-25,PYPL,38.11,10.0,39.03,7.0,38.92,0.89
53,2016-05-25,PSA,252.85,5.0,257.09,10.0,254.39,5.25
54,2016-05-25,MET,44.56,21.0,0.0,0.0,45.27,1.0
55,2016-05-25,ADBE,96.23,22.0,0.0,0.0,99.63,1.75
56,2016-05-25,D,68.73,9.0,71.32,13.0,70.78,1.18
57,2016-05-25,GD,140.78,25.0,0.0,0.0,142.97,2.03
58,2016-05-25,PNC,86.9,18.0,97.18,6.0,89.03,1.64
59,2016-05-25,REGN,389.56,20.0,531.72,5.0,397.71,12.75
60,2016-05-25,COP,38.92,6.0,44.07,19.0,43.46,1.35
61,2016-05-25,NFLX,94.49,12.0,99.1,5.0,97.89,3.23
62,2016-05-25,KMI,16.92,10.0,17.54,11.0,17.32,0.55
63,2016-05-25,ADP,85.09,37.0,0.0,0.0,87.46,1.31
64,2016-05-25,CB,121.29,20.0,0.0,0.0,127.06,1.84
65,2016-05-25,AET,111.09,21.0,114.47,6.0,111.63,2.21
66,2016-05-25,SYK,109.76,15.0,112.43,5.0,111.67,1.49
67,2016-05-25,AMT,103.73,17.0,106.81,5.0,105.31,1.36
68,2016-05-25,FDX,161.98,16.0,0.0,0.0,164.39,2.78
69,2016-05-25,CCL,50.35,21.0,0.0,0.0,50.84,0.93
70,2016-05-25,AVGO,148.27,11.0,0.0,0.0,151.42,3.81
71,2016-05-25,COF,70.92,17.0,0.0,0.0,71.63,1.63
72,2016-05-25,ITW,103.63,13.0,105.56,6.0,104.92,1.52
73,2016-05-25,EL,89.62,5.0,93.1,14.0,92.14,1.59
74,2016-05-25,TRV,111.94,8.0,114.86,10.0,113.45,1.6
75,2016-05-25,ALXN,139.46,8.0,147.79,18.0,146.67,4.43
76,2016-05-25,CME,94.08,16.0,0.0,0.0,97.95,1.45
77,2016-05-25,AEP,59.48,7.0,63.94,14.0,63.64,1.1
78,2016-05-25,MMC,63.76,11.0,0.0,0.0,65.53,0.81
79,2016-05-25,PRU,75.52,22.0,79.53,7.0,78.73,1.72
80,2016-05-25,YHOO,36.93,12.0,0.0,0.0,37.53,0.76
81,2016-05-25,PX,105.25,5.0,112.04,15.0,110.77,1.64
82,2016-05-25,CCI,88.2,11.0,0.0,0.0,91.3,1.15
83,2016-05-25,PCG,58.19,16.0,59.57,6.0,58.55,0.94
84,2016-05-25,APD,142.21,12.0,145.64,5.0,143.31,2.12
85,2016-05-25,EBAY,23.94,33.0,25.34,8.0,24.05,0.51
86,2016-05-25,VFC,61.81,11.0,62.89,9.0,62.09,1.28
87,2016-05-25,BXLT,41.59,11.0,0.0,0.0,45.0,0.87
88,2016-05-25,ETN,59.5,6.0,61.38,16.0,60.41,1.16
89,2016-05-25,INTU,102.02,14.0,0.0,0.0,107.31,1.87
90,2016-05-25,AON,105.35,21.0,0.0,0.0,106.93,1.4
91,2016-05-25,TSN,53.76,7.0,65.97,17.0,65.1,1.29
92,2016-05-25,AFL,68.8,18.0,0.0,0.0,69.56,0.85
93,2016-05-25,BBT,34.64,15.0,0.0,0.0,35.55,0.69
94,2016-05-25,SRE,103.16,15.0,105.15,12.0,104.34,1.64
95,2016-05-25,ALL,66.65,25.0,0.0,0.0,67.45,0.87
96,2016-05-25,PPL,37.87,10.0,0.0,0.0,38.07,0.61
97,2016-05-25,HPE,16.14,10.0,17.0,5.0,16.25,0.4
98,2016-05-25,JCI,40.48,10.0,0.0,0.0,43.89,0.86
99,2016-05-25,BSX,22.39,15.0,0.0,0.0,22.54,0.41
100,2016-05-25,EIX,60.54,6.0,70.2,12.0,69.92,1.13
101,2016-05-25,HCN,66.69,7.0,70.08,17.0,68.7,1.59
102,2016-05-25,FISV,102.39,11.0,0.0,0.0,104.38,1.7
103,2016-05-25,STT,61.57,11.0,64.91,5.0,62.55,1.36
104,2016-05-25,BAX,43.22,10.0,0.0,0.0,43.66,0.96
105,2016-05-25,ZTS,46.96,12.0,48.43,7.0,47.3,0.91
106,2016-05-25,TEL,58.29,11.0,60.2,12.0,59.05,0.94
107,2016-05-25,VRTX,84.37,21.0,0.0,0.0,88.42,3.31
108,2016-05-25,ISRG,628.25,13.0,0.0,0.0,638.67,11.33
109,2016-05-25,ADM,38.6,11.0,0.0,0.0,42.05,1.06
110,2016-05-25,XEL,40.45,11.0,0.0,0.0,40.57,0.68
111,2016-05-25,DFS,54.47,16.0,0.0,0.0,55.73,0.92
112,2016-05-25,ZBH,117.71,16.0,0.0,0.0,120.77,1.72
113,2016-05-25,CPB,59.99,7.0,62.72,16.0,60.91,1.37
114,2016-05-25,SE,30.45,25.0,0.0,0.0,30.96,0.66
115,2016-05-25,APC,49.07,12.0,0.0,0.0,50.25,1.9
116,2016-05-25,PAYX,52.47,17.0,54.14,14.0,53.09,0.79
117,2016-05-25,EQIX,316.53,10.0,0.0,0.0,354.74,6.85
118,2016-05-25,CAG,44.36,11.0,0.0,0.0,44.59,0.72
119,2016-05-25,WEC,58.59,15.0,60.13,6.0,58.87,1.01
120,2016-05-25,PCAR,54.1,5.0,55.11,12.0,54.17,1.29
121,2016-05-25,NLSN,52.31,25.0,0.0,0.0,53.01,0.78
122,2016-05-25,DPS,91.88,11.0,0.0,0.0,92.7,1.31
123,2016-05-25,CERN,54.54,20.0,55.85,5.0,55.05,1.17
124,2016-05-25,LVLT,52.68,25.0,0.0,0.0,53.05,1.01
125,2016-05-25,HIG,44.57,21.0,46.69,6.0,45.48,0.75
126,2016-05-25,MTB,116.57,11.0,0.0,0.0,117.81,2.37
127,2016-05-25,VNO,94.0,20.0,97.44,6.0,95.02,1.95
128,2016-05-25,APH,55.93,24.0,0.0,0.0,57.62,0.85
129,2016-05-25,RCL,78.38,19.0,0.0,0.0,79.81,2.04
130,2016-05-25,EXPE,110.78,14.0,116.41,5.0,113.17,2.57
131,2016-05-25,DISCA,25.44,5.0,26.54,12.0,26.54,0.78
132,2016-05-25,DTE,88.91,14.0,91.16,8.0,89.23,1.45
133,2016-05-25,SJM,127.67,17.0,129.69,9.0,127.93,1.81
134,2016-05-25,CMG,453.94,15.0,474.0,12.0,457.33,11.2
135,2016-05-25,VIAB,39.58,22.0,41.63,8.0,41.3,1.42
136,2016-05-25,IR,65.14,14.0,0.0,0.0,65.56,1.16
137,2016-05-25,SWK,111.49,24.0,0.0,0.0,114.48,1.59
138,2016-05-25,AMP,95.91,21.0,100.33,5.0,99.77,2.14
139,2016-05-25,IP,36.83,5.0,41.74,20.0,41.42,0.86
140,2016-05-25,HSIC,170.27,15.0,0.0,0.0,172.75,2.9
141,2016-05-25,MJN,80.77,5.0,83.77,18.0,82.46,1.47
142,2016-05-25,ADS,208.39,19.0,219.67,7.0,209.68,4.65
143,2016-05-25,NUE,46.92,10.0,48.34,6.0,47.16,1.12
144,2016-05-25,MHK,193.62,13.0,200.21,6.0,196.84,3.59
145,2016-05-25,VRSK,77.11,19.0,78.81,7.0,78.8,1.12
146,2016-05-25,L,39.96,11.0,0.0,0.0,40.25,0.55
147,2016-05-25,XLNX,45.55,25.0,47.78,5.0,47.46,1.06
148,2016-05-25,FITB,17.63,12.0,19.7,5.0,18.38,0.47
149,2016-05-25,WHR,172.45,6.0,180.76,14.0,174.25,4.24
150,2016-05-25,AEE,45.22,5.0,47.45,10.0,47.25,0.84
151,2016-05-25,LRCX,76.7,19.0,80.63,6.0,79.27,1.76
152,2016-05-25,CMS,40.81,12.0,41.95,6.0,41.21,0.72
153,2016-05-25,LH,126.25,18.0,0.0,0.0,128.17,2.15
154,2016-05-25,KIM,27.65,5.0,28.06,12.0,27.79,0.57
155,2016-05-25,ADSK,57.58,15.0,60.25,10.0,58.46,1.5
156,2016-05-25,MU,10.49,35.0,11.58,6.0,11.49,0.47
157,2016-05-25,CTXS,83.08,11.0,0.0,0.0,85.89,1.7
158,2016-05-25,PFG,42.35,33.0,0.0,0.0,44.14,0.99
159,2016-05-25,AME,47.49,8.0,48.73,13.0,47.73,0.82
160,2016-05-25,COH,39.12,27.0,0.0,0.0,39.48,1.0
161,2016-05-25,NDAQ,63.85,20.0,0.0,0.0,65.63,1.16
162,2016-05-25,KLAC,69.71,10.0,0.0,0.0,70.99,0.9
163,2016-05-25,LLTC,45.32,16.0,0.0,0.0,47.0,0.92
164,2016-05-25,EXR,91.2,12.0,0.0,0.0,91.98,1.83
165,2016-05-25,WDC,40.65,21.0,45.96,11.0,42.28,1.83
166,2016-05-25,CHRW,73.76,19.0,0.0,0.0,74.7,1.2
167,2016-05-25,WAT,135.11,11.0,0.0,0.0,137.56,2.28
168,2016-05-25,AKAM,51.3,17.0,54.51,9.0,52.71,1.38
169,2016-05-25,JNPR,22.78,20.0,23.9,5.0,22.9,0.48
170,2016-05-25,MAS,31.75,15.0,0.0,0.0,32.39,0.65
171,2016-05-25,DGX,76.17,17.0,0.0,0.0,77.63,1.24
172,2016-05-25,SCG,68.65,13.0,70.79,7.0,68.74,1.31
173,2016-05-25,HAS,85.4,12.0,87.42,5.0,86.73,1.48
174,2016-05-25,HRS,77.92,15.0,80.92,5.0,78.99,1.25
175,2016-05-25,BLL,71.59,15.0,0.0,0.0,71.77,1.18
176,2016-05-25,DOV,65.06,12.0,66.39,7.0,65.75,1.4
177,2016-05-25,WU,19.18,10.0,0.0,0.0,19.27,0.35
178,2016-05-25,SEE,45.46,5.0,46.88,10.0,46.77,1.03
179,2016-05-25,KMX,52.11,18.0,0.0,0.0,52.89,1.24
180,2016-05-25,TRIP,63.72,41.0,0.0,0.0,66.07,2.29
181,2016-05-25,SLG,96.26,9.0,102.51,15.0,100.09,1.98
182,2016-05-25,CVC,34.47,10.0,0.0,0.0,34.62,0.23
183,2016-05-25,LNC,42.61,10.0,48.65,5.0,45.01,1.24
184,2016-05-25,MOS,25.89,12.0,27.04,7.0,25.96,1.04
185,2016-05-25,KSU,87.39,12.0,0.0,0.0,91.02,2.4
186,2016-05-25,MCHP,48.6,23.0,0.0,0.0,49.96,1.05
187,2016-05-25,JBHT,73.58,9.0,82.38,10.0,80.74,1.7
188,2016-05-25,IPG,23.58,11.0,0.0,0.0,23.68,0.35
189,2016-05-25,PNR,58.7,10.0,0.0,0.0,60.09,1.39
190,2016-05-25,DVN,33.23,13.0,0.0,0.0,34.5,1.62
191,2016-05-25,CBG,28.86,23.0,30.77,6.0,29.18,0.74
192,2016-05-25,EQT,68.64,18.0,72.27,5.0,70.24,1.99
193,2016-05-25,EXPD,48.47,11.0,0.0,0.0,49.18,0.9
194,2016-05-25,XRAY,61.0,14.0,0.0,0.0,61.73,1.18
195,2016-05-25,IFF,120.96,19.0,0.0,0.0,128.25,2.0
196,2016-05-25,SNA,160.79,16.0,0.0,0.0,164.39,2.33
197,2016-05-25,DRI,64.33,16.0,65.84,5.0,65.81,1.36
198,2016-05-25,WYNN,89.39,16.0,95.2,10.0,93.23,3.07
199,2016-05-25,TSS,53.5,12.0,0.0,0.0,54.82,0.91
200,2016-05-25,COG,23.09,21.0,0.0,0.0,23.3,0.75
201,2016-05-25,GAS,64.96,16.0,65.63,16.0,65.6,0.29
202,2016-05-25,RL,91.27,13.0,98.6,9.0,93.39,2.73
203,2016-05-25,WLTW,121.2,26.0,0.0,0.0,126.63,2.42
204,2016-05-25,GRMN,41.0,11.0,0.0,0.0,41.14,0.76
205,2016-05-25,NTAP,24.52,21.0,25.65,5.0,25.21,0.6
206,2016-05-25,NI,23.59,16.0,0.0,0.0,24.07,0.43
207,2016-05-25,AMG,164.97,21.0,0.0,0.0,170.67,4.48
208,2016-05-25,HBAN,9.8,20.0,10.82,5.0,10.38,0.24
209,2016-05-25,ETFC,25.67,13.0,29.89,5.0,27.37,0.77
210,2016-05-25,TE,27.44,12.0,27.56,18.0,27.55,0.08
211,2016-05-25,TMK,58.96,19.0,0.0,0.0,60.53,0.91
212,2016-05-25,FTR,4.87,8.0,5.14,19.0,5.09,0.17
213,2016-05-25,AVY,73.94,19.0,0.0,0.0,74.5,1.25
214,2016-05-25,ALLE,66.81,15.0,0.0,0.0,68.13,1.13
215,2016-05-25,LEG,48.62,16.0,0.0,0.0,49.89,0.75
216,2016-05-25,AN,47.78,12.0,52.27,8.0,48.0,1.31
217,2016-05-25,FTI,26.26,5.0,28.08,16.0,26.96,1.04
218,2016-05-25,FLS,45.8,15.0,47.01,5.0,46.8,1.05
219,2016-05-25,LUK,17.4,10.0,0.0,0.0,17.79,0.43
220,2016-05-25,URI,63.17,15.0,0.0,0.0,65.75,2.26
221,2016-05-25,PBCT,15.42,11.0,16.53,6.0,15.63,0.28
222,2016-05-25,PDCO,45.45,11.0,0.0,0.0,45.98,0.85
223,2016-05-25,ZION,26.78,10.0,27.81,7.0,27.57,0.76
224,2016-05-25,FLIR,30.27,10.0,31.49,11.0,30.63,0.63
225,2016-05-25,NRG,15.85,10.0,0.0,0.0,16.02,0.56
